Posting Date,Description,Amount
07/31/2026,CHECK 1037,-410.00
08/01/2026,STRIPE TRANSFER ST-8H2K PAYOUT,4250.00
08/03/2026,CHECK 1038,-1200.00
08/05/2026,GUSTO PAYROLL ACH 8841,-8432.17
08/06/2026,ADOBE *CREATIVE CLD,-59.99
08/08/2026,ONLINE TRANSFER TO SAVINGS XXXX4821,-5000.00
08/10/2026,DEPOSIT,3775.50
08/12/2026,CHECK 1041,-845.00
08/15/2026,WEX FLEET FUEL 0082,-87.64
08/18/2026,STRIPE TRANSFER ST-9Q1L PAYOUT,6120.80
08/20/2026,RENT ACH GREENFIELD PROPERTIES,-3500.00
08/22/2026,ONLINE TRANSFER FROM SAVINGS XXXX4821,2000.00
08/25/2026,AMEX EPAYMENT ACH PMT,-2340.12
08/29/2026,GOOGLE *WORKSPACE,-72.00
08/31/2026,MONTHLY SERVICE FEE,-25.00
08/31/2026,INTEREST PAID,1.84
