record_id,entity_id
C001,P01
C002,P01
C003,P01
C004,P02
C005,P02
C006,P03
C007,P03
C008,P04
C009,P04
C010,P05
C011,P06
C012,P07
C013,P08
C014,P09
C015,P10
C016,P11
C017,P12
C018,P12
C019,P13
C020,P14
C021,P15
C022,P15
C023,P16
C024,P17
C025,P18
C026,P19
C027,P19
C028,P20
C029,P20
C030,P21
C031,P21
C032,P21
C033,P22
C034,P23
C035,P24
C036,P25
C037,P25
C038,P26
C039,P27
C040,P28
C041,P29
CO01,K01
CO02,K01
CO03,K02
CO04,K02
CO05,K03
CO06,K04
CO07,K05
CO08,K06
CO09,K07
CO10,K08
CO11,K09
CO12,K10
CO13,K11
CO14,K11
